,
Theme: Economy & Prices,
Subject: Prices and Price Indices,
Topic: Consumer Price Index (CPI)/ Inflation Rate,
"Table Title: Consumer Price Index (CPI), 2024 As Base Year, Monthly",
,
Data last updated: 25/08/2025,
Source: SINGAPORE DEPARTMENT OF STATISTICS,
,
Data Series,All Items (Index)
  2001 Jan,64.8
  2001 Feb,64.7
  2001 Mar,64.8
  2001 Apr,65
  2001 May,64.7
  2001 Jun,64.3
  2001 Jul,64.7
  2001 Aug,64.7
  2001 Sep,64.6
  2001 Oct,64.4
  2001 Nov,64.3
  2001 Dec,64.2
  2002 Jan,64.1
  2002 Feb,64.3
  2002 Mar,64.2
  2002 Apr,64.3
  2002 May,64.5
  2002 Jun,64.4
  2002 Jul,64.4
  2002 Aug,64.4
  2002 Sep,64.3
  2002 Oct,64.3
  2002 Nov,64.4
  2002 Dec,64.4
  2003 Jan,64.6
  2003 Feb,64.5
  2003 Mar,64.7
  2003 Apr,64.8
  2003 May,64.4
  2003 Jun,64.2
  2003 Jul,64.6
  2003 Aug,64.7
  2003 Sep,64.8
  2003 Oct,64.7
  2003 Nov,64.8
  2003 Dec,64.9
  2004 Jan,65.1
  2004 Feb,65.8
  2004 Mar,65.3
  2004 Apr,65.8
  2004 May,65.9
  2004 Jun,65.4
  2004 Jul,65.9
  2004 Aug,65.9
  2004 Sep,66
  2004 Oct,66
  2004 Nov,65.9
  2004 Dec,65.8
  2005 Jan,65.3
  2005 Feb,65.8
  2005 Mar,65.6
  2005 Apr,66
  2005 May,65.9
  2005 Jun,65.3
  2005 Jul,66
  2005 Aug,66.3
  2005 Sep,66.4
  2005 Oct,66.7
  2005 Nov,66.6
  2005 Dec,66.6
  2006 Jan,66.5
  2006 Feb,66.6
  2006 Mar,66.4
  2006 Apr,66.7
  2006 May,66.6
  2006 Jun,66.2
  2006 Jul,66.7
  2006 Aug,66.7
  2006 Sep,66.7
  2006 Oct,67
  2006 Nov,67
  2006 Dec,67.2
  2007 Jan,66.1
  2007 Feb,66.6
  2007 Mar,66.5
  2007 Apr,67
  2007 May,67.5
  2007 Jun,67.3
  2007 Jul,68.7
  2007 Aug,69.1
  2007 Sep,68.7
  2007 Oct,69.7
  2007 Nov,70.2
  2007 Dec,69.7
  2008 Jan,70.5
  2008 Feb,70.9
  2008 Mar,71
  2008 Apr,72.1
  2008 May,72.6
  2008 Jun,72.4
  2008 Jul,73.2
  2008 Aug,73.5
  2008 Sep,73.3
  2008 Oct,74.2
  2008 Nov,74.1
  2008 Dec,73.5
  2009 Jan,73.5
