"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M02","0.7363747703612982","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M03","-0.2933086123311196","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M04","0.6173027679551274","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M05","-0.156029872903822","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M06","-0.9133667121832802","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M07","1.047344888834446","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M08","0.4727845799490847","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M09","0.1402630308880309","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M10","0.408150970676386","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M11","-0.121497570048599","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2005-M12","0.03303948218120654","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M01","-0.231199987989611","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M02","0.1986306523211196","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M03","-0.3318966164566657","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M04","0.5454600247114486","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M05","-0.1483635055748711","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M06","-0.6303561512254424","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M07","0.7566947091785105","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M08","0.05546394843351821","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M09","-0.08689529117413517","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M10","0.3913688914213738","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M11","0","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2006-M12","0.2987303958177745","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M01","-1.60536113179449","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M02","0.7476692093473786","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M03","-0.06459754228885617","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M04","0.7696586143138463","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M05","0.6518982621018871","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M06","-0.1956367085605881","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M07","2.012177012177012","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M08","0.5182327680326079","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M09","-0.5141127572374042","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M10","1.419296611156399","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M11","0.7650241850985345","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M12","-0.6794484644749587","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M01","1.051242703687237","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M02","0.6769798467215441","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M03","0.08881119866924172","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M04","1.573239436619718","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M05","0.6156662090769167","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M06","-0.1832940560356114","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M07","1.090738388468548","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M08","0.381053839219864","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M09","-0.2136141611222227","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M10","1.104445050449959","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M11","-0.06743088334457181","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M12","-0.8650472334682861","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M01","0.00544521433724935","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M02","-0.3185276942134136","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M03","-0.5667153723251717","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M04","-0.6454802647842448","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M05","0.5321795864204357","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M06","-0.438614582903656","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M07","0.8548543018920039","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M08","0.3573922688247135","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M09","-0.3492973120480284","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M10","0.6010899033326944","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M11","0.05580281191730295","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M12","-0.6026063062817967","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M01","0.7458499267835393","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M02","0.4265377091936536","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M03","0.07709995942107399","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M04","0.9150256126076203","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M05","0.5745740919318547","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M06","-0.9534843460775305","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M07","1.279965580757492","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M08","0.4619734763504095","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M09","0.05682043421382983","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M10","0.4490227152667723","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M11","0.3313173810149882","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2010-M12","0.1506971380647867","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M01","1.631622332421788","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M02","-0.07209619692561217","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2011-M03","0.1339895385091087","Units"
